DateTime,count
2000-03-11 10:39:19,0
2000-03-11 12:58:23,0
2000-03-11 15:00:31,0
2000-03-11 15:49:35,0
2000-03-11 09:23:28,0
2000-03-11 15:24:56,0
2000-03-11 08:49:51,0
2000-03-11 07:41:20,0
2000-03-11 08:26:23,0
2000-03-11 10:25:51,0
2000-03-11 10:11:59,0
2000-03-11 11:06:08,0
2000-03-11 14:58:23,0
2000-03-11 08:37:44,0
2000-03-11 13:44:15,0
2000-03-11 09:12:47,0
2000-03-11 10:05:43,0
2000-03-11 07:55:59,0
2000-03-11 10:06:47,0
2000-03-11 14:19:36,0
2000-03-11 12:12:56,0
2000-03-11 10:33:27,0
2000-03-11 08:42:32,0
2000-03-11 07:31:43,0
2000-03-11 09:47:04,0
2000-03-11 13:15:19,0
2000-03-11 14:05:43,0
2000-03-11 11:45:36,0
